River;N;E;S
Выпча;66,63304;34,49202;161
Варзуга;66,26487;36,9403;9840
Колвица;67,0832;32,9911;1260
Кузрека;66,59999;34,81303;255
Лувеньга;67,10037;32,69313;175
Нива;67,13027;32,41825;12800
Оленица;66,45276;35,3006;403
Пила;66,78056;34,15745;313
Порья;66,81954;33,55116;240
Рязанка;66,7371;33,44663;102
Сальница;66,37576;35,68487;121
Умба;66,66461;34,29766;6250
Шогуй;66,74761;34,02558;103
Шушпаниха;66,85175;33,60705;65,2
Гридина;65,92462;34,65846;540
Кереть;66,28172;33,58034;3360
Ковда;66,69549;32,87103;26100
Кятка;65,88838;34,68294;204
Лупче-Савино;67,16291;32,34259;146
Нильма;66,50577;33,13507;167
Плавежма;66,25417;33,00065;NA
Пулонга;66,30251;33,27729;630
Сонрека;66,15655;34,22415;167
Черная;66,51896;32,94966;NA
Княжая;66,87178;32,40742;NA
